" and "," และ "
"(Absolute path or Relative to Magento install root, ex. var/export)","(Absolute Path หรือเกี่ยวข้องกับ Root ที่ติดตั้ง Magento เช่น var/export)"
"(For US 2-letter state names)","(สำหรับชื่อรัฐ 2 ตัวของสหรัฐอเมริกา)"
"(If left empty will be auto-generated)","(หากเว้นว่างไว้จะถูกสร้างโดยอัตโนมัติ)"
"(Leave empty for first spreadsheet)","(ปล่อยชีทแรกให้ว่างไว้)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(สินค้าจะถูก เพิ่ม/ปรับปรุง ไปยังร้านค้า ถ้า คอลัมม์ร้านค้าว่างหรือหายไปในการนำเข้าไฟล์.)"
"(Shift-)Click or drag to change value","(Shift-)คลิกหรือลากเพื่อเปลี่ยนค่า"
"(Starting with)","(เริ่มต้นด้วย)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(เมื่อไหรไม่มีพื้นที่ที่จะนำเข้าข้อมูล. เมื่อใช้พื้นที่ คอลัม1', คอลัม 2',และอื่นๆ.)"
"(You have to increase php memory_limit before changing this value)","(คุณต้องเพิ่ม php memory_limit ก่อนจะเปลี่ยนแปลงค่านี้)"
"(\\t for tab)","(\\t สำหรับแท็บ)"
"- Click on any of the time parts to increase it","- คลิกบนที่ใดๆของ time parts เพื่อเพิ่มมัน"
"- Hold mouse button on any of the above buttons for faster selection.","- ลากเมาส์บนปุ่มใดๆ เพื่อเลือกแบบเร็ว."
"- Use the %s buttons to select month","- ใช่ปุ่ม %s เพื่อเลือกเดือน"
"- Use the %s, %s buttons to select year","- ใช้ปุม %s, %s เพื่อเลือกปี"
"- or Shift-click to decrease it","- หรือ Shift-click เพื่อลดมัน"
"- or click and drag for faster selection.","- หรือ คลิกและ ลาก สำหรับเลือกแบบเร็ว"
"API:","API:"
"About the calendar","เกี่ยวกับปฎิทิน"
"Access Denied.","ปฏิเสธการเข้าถึง"
"Account Created in:","สร้างบัญชีใน:"
"Account Created on (%s):","สร้างบัญชีบน (%s):"
"Account Created on:","สร้างบัญชีบน:"
"Action","การกระทำ"
"Actions","การกระทำ"
"Add","เพิ่ม"
"Add Contents Path","เพิ่มพาทเนื้อหา"
"Add Field with URL:","เพิ่มฟิลด์ด้วย URL:"
"Add Gift Card","เพิ่มบัตรของขวัญ"
"Add Maintainer","เพิ่มผู้ดูแล"
"Add New Role","เพิ่มบททบาทใหม่"
"Add New Template","เพิ่มเทมเพลตใหม่"
"Add New User","เพิ่มผู้ใช้ใหม่"
"Add PHP Extension dependency","เพิ่มส่วนเสริม PHP Extension "
"Add Package dependency","เพิ่มแพ็คเกจส่วนเสริม"
"Add Subpackage dependency","เพิ่มแพ็คเกจย่อยส่วนเสริม"
"Add new store view map","Add new store view map"
"Address Type:","ประเภทที่อยู่:"
"All","ทั้งหมด"
"All Websites","ทุกเว็บไซต์"
"All fields","ทุกฟิลด์"
"Archive file name:","ชื่อไฟล์สำคัญ:"
"Are you sure that you want to delete this template?","คุณแน่ใจว่าต้องการลบเทมเพลตนี้?"
"Are you sure that you want to strip tags?","คุณแน่ใจว่าต้องการถอน tags?"
"Attribute Set Name:","ชื่อชุดคุณลักษณะ:"
"Attributes","คุณลักษณะ"
"Available Products","สินค้าที่มีอยู่"
"Big Image","รูปภาพขนาดใหญ่"
"Billing Address","ใบเสร็จรับเงิน"
"Bundle Items","รายการบรรจุภํณฑ์"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Bundle with dynamic pricing cannot include custom defined options. Options will not be saved."
"CSV / Tab separated","CSV / Tab separated"
"Card Verification Number","การยืนยันหมายเลขบัตร"
"Catalog","รายการสินค้า"
"Channel","ช่องทาง"
"Channel:","ช่องทาง:"
"Choose Store View","เลือกมุมมองร้านค้า"
"Client Session timeout (sec.)","Client Session timeout (sec.)"
"Close","ปิด"
"Comments History","ข้อคิดเห็นที่ผ่านมา"
"Confirmed email:","ยืนยันอีเมลล์:"
"Connect with the Magento Community","Connect with the Magento Community"
"Content","เนื้อหา"
"Contents","เนื้อหา"
"Country:","ประเทศ:"
"Create New Staging Store View","Create New Staging Store View"
"Create a backup","Create a backup"
"Credit Card Number","หมายเลขบัตรเครดิต"
"Credit Card Number: xxxx-%s","หมายเลขบัตรเครดิต: xxxx-%s"
"Credit Card Type","ประเภทบัตรเครดิต"
"Credit Card Type: %s","ประเภทบัตรเครดิต: %s"
"Credit Memo History","ประวัติใบลดหนี้"
"Credit Memo Totals","ใบลดหนี้ทั้งหมด"
"Current Configuration Scope:","ขอบเขตการตั้งค่าปัจจุบัน:"
"Current Release Information","ข้อมูลออกวางจำหน่ายปัจจุบัน"
"Custom","ปรับปรุง"
"Customer Group:","กลุ่มลูกค้า:"
"Customer Since:","ลุกค้าตั้งแต่:"
"Customers","ลุกค้า"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
"Dashboard","แผงควบคุม"
"Data Format","รูปแบบข้อมูล"
"Data transfer:","การย้ายข้อมูล:"
"Date selection:","ตัวเลือกวันที่:"
"Date selector","การเลือกวันที่"
"Date:","วันที่:"
"Decimal separator:","ตัวแบ่งจุดทศนิยม:"
"Default (Admin) Values","ค่าเริ่มต้น (Admin)"
"Default Values","ค่าเริ่มต้น"
"Delete","ลบ"
"Dependencies","ส่วนเสริม"
"Description:","รายละเอียด:"
"Direction:","คำแนะนำ:"
"Display %s first","แสดง %s ก่อน"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Done By:","เสร็จสิ้นโดย:"
"Done by:","เสร็จสิ้นโดย:"
"Download Remote File","ดาวน์โหลดรีโมทไฟล์"
"Drag to move","ลากเพื่อย้าย"
