"# of Use","# จำนวนที่ใช้"
"%1$s incl tax.","%1$s รวมภาษี."
"%s - %s","%s - %s"
"%s Item(s)","%s รายการ(s)"
"(Copy data from: %s)","(คัดลอกข้อมูลจาก: %s)"
"(Will make search for the query above return results for this search.)","(จะทำการค้นหาจาก Query ด้านบนแล้วนำผลลัพธ์ที่ได้กลับมายังการค้นหา.)"
"* Required Fields","* ต้องการฟิลด์นี้"
"-- Please Select --","-- กรุณาเลือก--"
"A name is required","ต้องใส่ชื่อให้ระบบ"
"ALL GROUPS","ทุกกลุ่ม"
"AM","AM"
"Action","การกระทำ"
"Add Attribute","เพิ่มคุณลักษณะ"
"Add Design Change","เพิ่มการเปลี่ยนแปลงดีไซน์"
"Add Group","เพิ่มกลุ่ม"
"Add Items to Cart","เพิ่มรายการไปยังรถเข็น"
"Add New","เพิ่มใหม่"
"Add New Attribute","เพิ่่มคุณลักษณะใหม่"
"Add New Attribute Set","เพิ่มชุดคุณลักษณะใหม่"
"Add New Group","เพิ่มกลุ่มใหม่"
"Add New Images","เพิ่มรุปภาพใหม่"
"Add New Option","เพิ่มตัวเลือกใหม่"
"Add New Row","เพิ่มแถวใหม่"
"Add New Search Term","เพิ่มการค้นหาใหม่"
"Add New Set","เพิ่มชุดสินค้าใหม่"
"Add Option","เพิ่มตัวเลือก"
"Add Product","เพิ่มสินค้า"
"Add Product To Websites","เพิ่่มสินค้าไปยังเว็บไซต์"
"Add Root Category","Add Root Category"
"Add Subcategory","Add Subcategory"
"Add Tax","Add Tax"
"Add Tier","เพิ่มระดับ"
"Add to Cart","เพิ่มในรถเข็น"
"Add to Compare","เพิ่มไปเปรียบเทียบ"
"Add to Wishlist","เพิ่มไปยัง Wishlist"
"Additional Information","ข้อมูลที่เพิ่มขึ้น"
"All","ทั้งหมด"
"All Product Types","ประเภทสินค้าทั้งหมด"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","สินค้าทั้งหมดในชุดนี้จะถูกลบ! คุณแน่ใจว่าต้องการลบชุดคุณลักษณะนี้?"
"Allow HTML-tags on Front-end","Allow HTML-tags on Front-end"
"Allowed File Extensions","ไฟล์นามสกุลที่อนุญาต"
"Allowed file extensions to upload","ไฟล์นามสกุลที่อนุญาตให้อัพโหลด"
"Amount","ผลรวม"
"Apply To","ใช้งานไปยัง"
"Apply To Configurable/Grouped Product","ใช้งานไปยัง  กราตั้งค่า/กลุ่มสินค้า"
"Approved","อนุมัติ"
"Are you sure you want to delete this category?","คุณแน่ใจว่าต้องการลบประเภทนี้?"
"Are you sure you would like to remove all products from your comparison?","คุณแน่ใจว่าต้องการลบสินค้าทั้งหมดจากรายการเปรียบเทียบสินค้า?"
"Are you sure you would like to remove this item from the compare products?","คุณแน่ใจว่าต้องการลบรายการนี้จากรายการเปรียบเทียบสินค้า?"
"Are you sure?","คุณแน่ใจ?"
"As low as:","ต่ำเท่ากับ:"
"Assign","ระบุ"
"Assign product link","ระบุลิงค์สินค้า"
"Assign product to category","ระบุสินค้าไปยังประเภท"
"Assigned Products","ระบุสินค้า"
"Associated Products","สินค้าที่เกี่ยวข้องกัน"
"Attrib. Set Name","ชื่อชุดคุณลักษณะสินค้า"
"Attribute ""%s"" is required","คุณลักษณะ ""%s"" ต้องมี"
"Attribute Code","รหัสคุณลักษณะ"
"Attribute Information","ข้อมูลคุณลักษณะ"
"Attribute Label","ป้ายคุณลักษณะ"
"Attribute Model","แบบคูณลักษณะ"
"Attribute Name:","ชื่อคูณลักษณะ:"
"Attribute Properties","คุณสมบัติของคุณลักษณะ"
"Attribute Set","ชุดคุณลักษณะ"
"Attribute group with the \"/name/\" name already exists","Attribute group with the \"/name/\" name already exists"
"Attribute model not defined","แบบคุณลักษณะไม่ได้กำหนด"
"Attribute with the same code already exists","มีคุณลักษณะที่ใช้โค้ดเดียวกันอยู่แล้ว"
"Attributes","คุณลักษณะ"
"Attrribute names can be specified per store.","ชื่อคุณลักษณะสามารถระบุในแต่ละร้านค้า."
"Autogenerate","สร้างอัตโนมัติ"
"Availability","สินค้าที่มี"
"Availability: In stock.","มีสินค้า."
"Availability: Out of stock.","ไม่มีสินค้า."
"Back","กลับ"
"Backend Model","แบบส่วนหลัง"
"Backend Table","ตารางส่วนหลัง"
"Backend Table Title","หัวข้อตารางส่วนหลัง"
"Backorders","คำสั่งซื้อล่วงหน้า"
"Base directory to upload image file is not specified","ไดเ็ร็คทอรี่พื้นฐานที่จะอัฟโหลด ไฟล์รูปภาพไม่ได้กำหนด"
"Based On","อยู่บนพื้นฐานของ"
"Best Value","ความนิยมมากที่สุด"
"Block after Info Column","บล็อคหลังจากข้อมูลคอลัมม์"
"Bottom/Left","ล่าง/ซ้าย"
"Bottom/Right","ล่าง/ขวา"
"Browse By","ค้นหาโดย"
"Buy %1$s for %2$s","ซื้ิอ %1$s ในราคา %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","ซื้ิอ %1$s ในราคา %2$s (%3$s รวมภาษี) ต่อชิ้น"
"Buy %1$s for %2$s each","ซื้ิอ %1$s ในราคา %2$s ต่อชิ้น"
"Can be used only with catalog input type Dropdown","สามารถใช้ได้เฉพาะกับรายการสินค้าที่มีการนำเข้าข้อมูลแบบดรอปดาวน์"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","สามารถใช้ได้เฉพาะกับรายการสินค้าที่มีการนำเข้าข้อมูลแบบดรอปดาวน์, และเลือกหลายราคา"
"Can\'t create image.","ไม่สามารถสร้างรูปภาพ."
"Cannot create writeable directory '%s'","ไม่สามารถสร้างไดเรกทอรี writeable '%s'"
"Cart Item Attribute","คุณลักษณะรายการรถเข็น"
"Catalog","รายการสินค้า"
"Catalog Input Type for Store Owner","ประเภทการนำเข้าข้อมูลจากรายการสินค้าสำหรับเจ้าของร้าน"
"Catalog Price Scope","ขอบเขตราคารายการสินค้า"
"Catalog Section","กลุ่มรายการสินค้า"
"Catalog, Search","รายการสินค้า, ค้นหา"
"Categories","ประเภท"
"Categories Sitemap","แผนผังเว็บไซต์"
"Category","ประเภท"
"Category API","ประเภท API"
"Category Data","ข้อมูลประเภท"
"Category Navigation:","การควบคุมประเภท"
"Category Products","ประเภทสินค้า"
"Category Top Navigation","Category Top Navigation"
"Category URL Suffix","คำต่อท้ายประเภท URL "
"Category attributes API","คุณลักษณะประเภท API"
"Category delete error","ข้อผิดพลาดในการลบประเภท"
"Category deleted","ลบประเภทแล้ว"
"Category move error","เกิดข้อผิดพลาดในการย้ายประเภท"
"Category must be instance of Mage_Catalog_Model_Category","ต้องยกตัวอย่างประเภทสินค้าเช่น  Mage_Catalog_Model_Category"
"Category saved","บันทึกประเภท"
"Change","เปลี่ยนแปลง"
"Change or Retrieve attribute store view","เปลี่ยนแปลง หรือ เรียกข้อมูล คุณลักษณะมุมมองร้านค้า"
"Change status","เปลี่ยนแปลงสถานะ"
"Check items to add to the cart or ","ตรวจสอบรายการก่อนใส่รถเข็น "
"Choose an Option...","เลือกตัวเลือก..."
"Choose option...","เลือกตัวเลือก..."
"Clear All","ล้างทั้งหมด"
"Clear All Items","ล้างทุกรายการ"
"Close Window","ปิดหน้าต่าง"
