"%s already exist","%s มีอยู่แล้ว"
"%s already exists","%s มีอยู่แล้ว"
"-- Please Select --","-- กรุณาเลือก --"
"Add Block Names to Hints","เพิ่มชื่อ Block เพื่อแนะนำ"
"Add Secret Key to URLs","เพิ่มคีย์ลับ ไปยัง URLs"
"Add Store Code to Urls","เพิ่มรหัสร้านค้าไปที่ Urls"
"Admin","ผู้ดูแลระบบ"
"Admin Base URL","พื้นฐาน ผู้ดูแลระบบ URL"
"Admin User Emails","ผู้ดูแลระบบ อีเมลล์ผู้ใช้"
"Advanced","ขั้นสูง"
"Allow countries","ประเทศที่อนุญาต"
"Allowed IPs (comma separated)","IP ที่อนุญาต (แยกด้วยจุลภาค)"
"Are you sure?","คุณแน่ใจ?"
"Back","กลับ"
"Backup options","Backup options"
"Base JavaScript URL","Base JavaScript URL"
"Base Link URL","Base Link URL"
"Base Media URL","Base Media URL"
"Base Skin URL","Base Skin URL"
"Base URL","Base URL"
"Before modifying the store view code please make sure that it is not used in index.php","ก่อนการแก้ไข code ร้านค้ากรุณาดู ให้แน่ใจว่ามันไม่ถูกใช้อยู่ใน index.php"
"Before modifying the website code please make sure that it is not used in index.php","ก่อนการแก้ไข code เว็บไซต์กรุณาดู ให้แน่ใจ มันไม่ถูกใช้อยู่ใน index.php"
"Block with name ""%s"" already exists","บล็อคชื่อ ""%s"" มีอยู่แล้ว"
"Blocks HTML output","Blocks HTML output"
"Browser Capabilities Detection","ขีดความสามารถของเบราว์เซอร์ที่่ตรวจจับ"
"Can't retrieve request object","ไม่สามารถคืนความต้องการของ object"
"Can\'t retrieve entity config: %s","ไม่สามารถเรียกคืน entity config: %s"
"Cancel","ยกเลิก"
"Cannot Delete Email Template","ไม่สามารถลบเทมเพลตอีเมล์ได้"
"Cannot complete this operation from non-admin area.","ไม่สามารถดำเนินการจากพื้นที่ที่ไม่ใช่ผู้ดูแลระบบ."
"Card type doesn\'t match credit card number","ประเภทบัตรไม่ีตรงกับหมายเลขบัตรเครดิต"
"Category object is required for determining product request path","Category object is required for determining product request path"
"Code","รหัส"
"Collections Data","เก็บรวบรวมข้อมูล"
"Configuration","การกำหนดค่า"
"Controller file was loaded but class does not exist","ไฟล์ ควบคุม ถูกโหลดแล้วแต่ไม่มีคลาส"
"Cookie Domain","Cookie Domain"
"Cookie Lifetime","ระยะเวลาของ Cookie"
"Cookie Path","Cookie Path"
"Copyright","ลิขสิทธิ์"
"Countries options","ตัวเลือกประเทศ"
"Create Store","สร้างร้านค้า"
"Create Store View","สร้างมุมมองร้าน"
"Create Website","สร้างเว็บไซต์"
"Credit card number doesn\'t match credit card type","ประเภทบัตรไม่ีตรงกับหมายเลขบัตรเครดิต"
"Current package name","ชื่อแพ็คเกจปัจจุบัน"
"Custom Design","ดีไซน์เอง"
"Custom admin URL","ปรับปรุง admin URL"
"Custom email 1","ปรับปรุง email 1"
"Custom email 2","ปรับปรุง email 2"
"Customer support","บริการลูกค้า"
"Date From","ตั้งแต่วันที่"
"Date To","ถึงวันที่"
"Date/time format ""%s"" is not supported.","รูปแบบ วันที่/เวลา ""%s"" ไม่สนับสนุน"
"Debug","Debug"
"Default","ค่าเริ่มต้น"
"Default Description","คำอธิบายที่ตั้งไว้เป็นค่าเริ่มต้น"
