"ALL","ทั้งหมด"
"ANY","ใดๆ"
"Add","เพิ่ม"
"Apply","นำไปใช้"
"Description: %s","รายละเอียด: %s"
"Expire at: %s","หมดอายุเมื่อ: %s"
"FALSE","ผิด"
"If %s of these conditions are %s:","ถ้า %s ของเงื่อนไขเหล่านี้  %s:"
"Invalid discount amount.","Invalid discount amount."
"MATCHING ALL","ตรงกันทั้งหมด"
"MATCHING ANY","ตรงกับอันใดๆ"
"NOT MATCHING ALL","ไม่ตรงกันทั้งหมด"
"NOT MATCHING ANY","ไม่ตรงกับอันใดๆ"
"Name: %s","ชื่อ: %s"
"Open Chooser","เปิดที่เลือก"
"Perform following actions","ให้ดำเนินการดังต่อไปนี้"
"Please choose a condition to add...","กรุณาเลือกเงื่อนไขที่จะเพิ่ม..."
"Please choose an action to add...","กรุณาเลือกการกระทำที่จะเพิ่ม..."
"Remove","ลบออก"
"Start at: %s","เริ่มเมื่อ: %s"
"TRUE","ถูกต้อง"
"by","โดย"
"contains","contains"
"does not contain","does not contain"
"equals or greater than","เท่ากับหรือมากกว่า"
"equals or less than","เท่ากับหรือน้อยกว่า"
"greater than","มากกว่า"
"is","is"
"is not","ไม่ใช่"
"is not one of","is not one of"
"is one of","is one of"
"less than","น้อยกว่า"
"to","ถึง"
