" The customer doesn\'t exist in the system anymore"," ลูกค้าไม่สามารถอยู่ในระบบได้อีก"
"""%s"" coupon code is not valid.","""%s"" รหัสคูปองไม่ถูกต้อง."
"%s","%s"
"%s / %s rate:","%s / %s อัตรา:"
"%s for %s","%s for %s"
"%s order(s) successfully canceled","%s รายการ(s) ยกเลิกสำเร็จ"
"%s order(s) successfully put on hold","%s รายการ(s) หยุดทำงานแล้ว"
"%s order(s) successfully released from holding status","%s ออเดอร์ถูกปล่อยจากสถานะหยุดชั่วคราว"
"* - Enter custom price excluding tax","* - ใส่ราคาที่ปลอดภาษี"
"* - Enter custom price including tax","* - ใส่ราคารวมภาษี"
"About This Order:","เกี่ยวกับออเดอร์นี้:"
"About Your Order","เกี่ยวกับคำสั้งซื้อของคุณ"
"Account Information","ข้อมูลบัญชีผู้ใช้"
"Action","การกระทำ"
"Actions","การกระทำ"
"Add","เพิ่ม"
"Add Gift Messsage","Add Gift Messsage"
"Add New Address","เพิ่มที่อยู่ใหม่"
"Add Order Comments","เพิ่มข้อคิดเห็นคำสั่งซื้อ"
"Add Products","เพิ่มสินค้า"
"Add Selected Product(s) to Option","เพิ่มสินค้าที่เลือกไปยังตัวเลือก"
"Add Selected Product(s) to Order","เพิ่มสินค้าที่เลือกไปยังคำสั่งซื้อ"
"Add To Order","เพิ่มไปยังคำสั่งซื้อ"
"Add Tracking Number","เพิ่ม Tracking Number"
"Add a gift message for <strong>each gift item</strong>","เพิ่ม gift message สำหรับ <strong>แต่ละรายการของขวัญ</strong>"
"Add a gift message for the <strong>entire order</strong>","เพิ่ม gift message สำหรับ <strong>ทั้งออเดอร์</strong>"
"Add comment to order","เพิ่มคำสั่งซื้อไปยังคำสั่งซื้อ"
"Add new comment to shipment","เพิ่มข้อคิดเห็นใหม่ไปยังการส่งสินค้า"
"Add new tracking number","เพิ่ม tracking number ใหม่"
"Add to Cart","เพิ่มไปยังรถเข็น"
"Address","ที่อยู่"
"Address model is not defined","เป็นรุ่นที่ไม่ได้กำหนด"
"Address total model should be extended from Mage_Sales_Model_Quote_Address_Total_Abstract","Address total model should be extended from Mage_Sales_Model_Quote_Address_Total_Abstract"
"Adjustment Fee","ค่าธรรมเนียมการปรับปรุง"
"Adjustment Refund","ปรับยอดคืนเงิน"
"Allow Reorder","อนุญาตให้เปลี่ยนลำดับ"
"Amount","จำนวน"
"Append Comments","ให้ข้อมูลข้อคิดเห็นเพิ่ม"
"Apply","นำไปใช้"
"Apply Coupon Code","นำโค้ดคูปองไปใช้"
"Are you sure you want to cancel this order?","คุณแน่ใจว่าต้องการยกเลิกออเดอร์นี้"
"Are you sure?","คุณแน่ใจ?"
"Are you sure? This order will be cancelled and a new one will be created instead","คุณแน่ใจ? ออเดอร์นี้จะถูกยกเลิกและออเดอร์ใหม่จะถูกสร้างขึ้นแทนที่"
"Back to My Orders","กลับไปยังคำสั่งซื้อของฉัน"
"Backordered","กลับไปคำสั่งซื้อ"
"Bill to First name","ออกใบเสร็จไปยังชื่อ"
"Bill to Last name","ออกใบเสร็จไปยังนามสกุล"
"Bill to Name","ออกใบเสร็จในนาม"
"Billing Address","ที่อยู่สำหรับออกใบเสร็จ"
"Buy %s for price %s","Buy %s for price %s"
"Can not add order history.","ไม่สามารถเพิ่มประวัติคำสั่งซื้อ."
"Can not do invoice for order.","ไม่สามารถจัดทำใบส่งสินค้าสำหรับคำสั่งซื้อ."
"Can not do shipment for order.","ไม่สามารถสร้างการส่งสินค้าสำหรับคำสั่งซื้อ."
"Can not register existing creditmemo","ไม่สามารถลงทะเบียนใบลดหนี้ที่มีอยู่แล้ว"
"Can not register existing invoice","ไม่สามารถลงทะเบียนใบส่งสินค้า ที่มีอยู่แล้ว"
"Can not register existing shipment","ไม่สามารถลงทะเบียนการส่งสินค้าที่มีอยู่แล้ว"
"Can\'t get order instance","ไม่สามารถรับคำสั่งซื้อแบบด่วน"
"Cancel","ยกเลิก"
"Cancel invoice","ยกเลิกใบส่งสินค้า"
"Cancel order","ยกเลิกคำสั่งซื้อ"
"Canceled","ยกเลิกแล้ว"
"Cannot create an empty shipment.","ไม่สามารถสร้าการส่งสินค้าที่ว่างเปล่า"
"Capture","เก็บ"
"Capture Amount","จำนวนที่เก็บ"
"Capture Offline","การเก็บออฟไลน์"
"Capture Online","การเก็บออนไลน์"
"Capture invoice","เก็บใบส่งสินค้า"
"Carrier","ผู้ส่ง"
"Change Status","เปลี่ยนแปลงสถานะ"
"Change status, add comments","เปลี่ยนแปลงสถานะ, เพิ่มข้อคิดเห็น"
"Checkout totals sort order","Checkout ออเดอร์ที่เรียงลำดับทั้งหมด"
"Click to change shipping method","คลิ๊กเพื่อเปลี่ยนแปลงวิธีการจัดส่งสินค้า"
"Closed","ปิด"
"Comment","ข้อคิดเห็น"
"Comment Text","ข้อความข้อคิดเห็น"
"Comments","ข้อคิดเห็น"
"Comments History","ข้อคิดเห็นที่ผ่านมา"
"Complete","สำเร็จ"
"Country","ประเทศ"
"Coupons","คูปอง"
"Create","สร้าง"
"Create New Customer","สร้างลูกค้าใหม่"
"Create New Order","สร้างคำสั่งซื้อใหม่"
"Create New Order for %s","สร้างคำสั่งซื้อใหม่สำหรับ %s"
"Create New Order for %s in %s","สร้างคำสั่งซื้อใหม่สำหรับ %s ใน %s"
"Create New Order for New Customer","สร้างคำสั่งซื้อใหม่เพื่อลูกค้าใหม่"
"Create New Order for New Customer in %s","สร้างคำสั่งซื้อใหม่สำหรับลูกค้าใหม่ใน %s"
"Create Shipment","สร้างการส่งสินค้า"
"Create new invoice for order","สร้างใบลดหนี้ใหม่สำหรับคำสั่งซื้อ"
"Create new shipment for order","สร้างการส่งสินค้าใหม่สำหรับคำสั่งซื้อ"
"Created At","สร้างเมื่อ"
"Credit Memo","ใบลดหนี้"
"Credit Memo #","ใบลดหนี้้ #"
"Credit Memo # ","ใบลดหนี้ # "
"Credit Memo Comment Email Sender","ผู้ส่งอีเมลล์ข้อคิดเห็นใบลดหนี้"
"Credit Memo Comment Email Template","อีเมลล์ข้อคิดเห็นเทมเพลตใ์บลดหนี้"
"Credit Memo Comment Email Template for Guest","อีเมลล์ข้อคิดเห็นเทมเพลตใ์บลดหนี้สำหรับลูกค้า"
"Credit Memo Comments","ข้อคิดเห็น ใบลดหนี้"
"Credit Memo Email Sender","ผู้ส่งอีเมลล์ใบลดหนี้"
"Credit Memo Email Template","อีเมลล์เทมเพลตใบลดหนี้"
"Credit Memo Email Template for Guest","อีเมลล์ เทมเพลตใบลดหนี้สำหรับลูกค้า"
"Credit Memo Update","ปรับปรุง ใบลดหนี้"
"Credit Memo Update for Guest","ปรับปรุง ใบลดหนี้ สำหรับลูกค้า"
"Credit Memo email not sent","ยังไม่ได้ส่งอีเมลล์ใบลดหนี้"
"Credit Memo email sent","ส่งอีเมล์ใบลดหนี้แล้ว"
"Credit Memos","ใบลดหนี้"
"Creditmemo","ใบลดหนี้"
"Custom Options","ตัวเลือกกำหนดเอง"
"Custom Price","Custom Price"
"Custom Value","ค่าที่กำหนดเอง"
"Customer","ลูกค้า"
"Customer Group","กลุ่มลูกค้า"
"Customer Name","ชื่อลูกค้า"
"Customer\'s Current Activities","Customer\'s Current Activities"
"Date","วันที่"
"Date Shipped","วันที่ส่งสินค้า"
"Date of Birth","วันเกิด"
"Default logo, will be used in PDF and HTML documents.<br />(jpeg, tiff, png)","Default logo, will be used in PDF and HTML documents.<br />(jpeg, tiff, png)"
"Delete","ลบ"
"Description message","ข้อความรายละเอียด"
"Discount","ส่วนลด"
"Discount ","ส่วนลด "
"Discount (%s)","ส่วนลด (%s)"
"Discount :","ส่วนลด :"
"Discount Amount","จำนวนส่วนลด"
"Discount%s","Discount%s"
"Display Order ID in Header","Display Order ID in Header"
"Document","เอกสาร"
"Edit","แก้ไข"
"Edit Gift Messsage","Edit Gift Messsage"
"Edit Order #%s","แก้ไขออเดอร์ #%s"
"Email","อีเมล์"
"Email Copy of Credit Memo","สำเนาอีเมลล์ของใบลดหนี้"
"Email Copy of Invoice","สำเนาอีเมลล์ใบส่งของ"
"Email Copy of Shipment","สำเนาอีเมลล์ของการขนส่งสินค้า"
"Email Order Confirmation","อีเมลล์การยืนยันคำสั่งซื้อ"
"Enable","เปิดใช้งาน"
"Enabled","เปิดใช้งานแล้ว"
"Error to show in shopping cart","ผิดพลาดในการแสดงสินค้าในรถเข็น"
"Excl. Tax","ยกเว้น. ภาษี"
"From","จาก"
"From Name","จาก:"
"From:","จาก:"
"G.T. (Base)","G.T. (พื้นฐาน)"
"G.T. (Purchased)","G.T. (ซื้อ)"
"Get shipping methods and rates","ขอวิธีการจัดส่งสินค้าและอัตราค่าบริการ"
"Gift","ของขวัญ"
"Gift Certificate","บัตรกำนัล"
"Gift Message","Gift Message"
"Gift Message for Entire Order","Gift Message สำหรับคำสั่งซื้อทั้งหมด"
"Gift Message for this Order","Gift Message สำหรับคำสั่งซื้อนี้"
"Grand Total","รวมทั้งหมด"
"Grand Total to be charged","ยอดรวมทั้งหมดที่เรียกเก็บ"
"Guest","ผู้เยี่ยมชม"
"Hold","ระงับ"
"Hold action is not available","การระงับไม่สามารถใช้ได้"
"Hold order","ระงับรายการ"
"ID","รหัส"
"If empty, the default description above will be used","ถ้าว่าง, รายละเอียดเริ่มต้นด้านบนจะถูกใช้"
"If empty, the default error above will be used","ถ้าว่าง, ข้อผิดพลาดเริ่มต้นจะถูกใช้"
"Incl. Tax","รวม. ภาษี"
"Information","ข้อมูล"
"Invalid block: %s","บล็อกไม่ถูกต้อง: %s"
"Invalid carrier specified.","การกำหนดผู้ส่งไม่ถูกต้อง."
"Invalid draw line data. Please define ""lines"" array","Invalid draw line data. Please define ""lines"" array"
"Invalid item option format","รูปแบบตัวเลือกรายการไม่ถูกต้อง"
"Invalid qty to invoice item ""%s""","ปริมาณในใบส่งสินค้าไม่ถูกต้อง ""%s"""
"Invalid qty to refund item ""%s""","ปริมาณในการคืนเงินไม่ถูกต้อง ""%s"""
"Invalid qty to ship for item ""%s""","ปริมาณสำหรับการขนส่งไม่ถูกต้อง ""%s"""
"Invalid renderer model","การส่งคืนโมเดลไม่ถูกต้อง"
"Invalid request for adding product to quote","ความต้องการในการเพิ่มสินค้าที่อ้างอิงไม่ถูกต้อง"
"Invoice","ใบส่งสินค้า"
"Invoice #","ใบส่งสินค้า #"
"Invoice # ","ใบส่งสินค้า # "
"Invoice #%s","ใบส่งสินค้า #%s"
"Invoice Comment Email Sender","ข้อคิดเห็นผู้ส่งอีเมลล์์ใบส่งของ"
"Invoice Comment Email Template","ข้อคิดเห็นเทมเพลตอีเมลล์ใบส่งของ"
"Invoice Comment Email Template for Guest","ข้อคิดเห็นเทมเพลตอีเมลล์ใบส่งของสำหรับลูกค้า"
"Invoice Comments","ข้อคิดเห็น ใบส่งสินค้า"
"Invoice Date","วันที่ใน ใบส่งสินค้า"
"Invoice Email Sender","ผู้ส่งอีเมลล์ใบส่งสินค้า"
"Invoice Email Template","เทมเพลตอีเมลล์ใบส่งสินค้า"
"Invoice Email Template for Guest","เทมเพลตอีเมลล์ใบส่งสินค้าสำหรับลูกค้า"
"Invoice Update","ปรับปรุงใบส่งของ"
"Invoice Update for Guest","แก้ไขใบส่งของสำหรับลูกค้า"
"Invoice and Packing Slip Design","ใบส่งสินค้าและแพ็คเกจมองข้ามการดีไซน์"
"Invoice can not be canceled","ไม่สามารถยกเลิกใบส่งสินค้า"
"Invoice can not be captured","ไม่สามารถเก็บใบส่งสินค้า"
"Invoice can not be void","ไมาสามารถทำใบส่งสินค้าให้เป็นโมะ"
"Invoice cancel problem","มีปัญหาในการยกเลิกการส่งสินค้า"
"Invoice capture problem","มีปัญหาในการเก็บใบส่งสินค้า"
"Invoice email not sent","ยังไม่ได้ส่งอีเมลล์ ใบส่งสินค้า"
"Invoice email sent","ส่งอีเมลล์ใบส่งสินค้า แล้ว"
"Invoice void problem","มีปัญหาในการยกเลิกใบส่งสินค้า"
"Invoiced","ออกใบส่งสินค้า"
"Invoices","ใบส่งสินค้า"
"Item","รายการ"
"Item Status","Item Status"
"Item object is not specified.","Item object is not specified."
"Item option with code %s already exist","ตัวเลือกรายการมีโค๊ด %s อยู่แล้ว"
"Item options declare error","Item options declare error"
"Item ordered qty","รายการสั่งจำนวน"
"Item qty declare error","Item qty declare error"
"Items Invoiced","รายการที่ออกใบส่งสินค้า"
"Items Ordered","รายการที่จัดเรียง"
"Items Refunded","รายการที่คืนเงินแล้ว"
"Items Shipped","รายการที่ถูกส่งสินค้า"
"Items options declare error.","ความผิดพลาดตัวเลือกในการแจ้งจำนวนสินค้า."
"Items to Refund","รายการที่จะคืนเงิน"
"Items to Ship","รายการที่จะส่ง"
"Last ordered items","รายการล่าสุดที่สั่งซื้อ"
"Link to the new order","ลิงค์ไปยังคำสั่งซื้อใหม่ใหม่"
"Link to the previous order","ลิงค์ไปยังคำสั่งซื้อที่แล้ว"
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)"
"Logo for HTML print view","Logo for HTML print view"
"Logo for PDF print-outs (200x50)","Logo for PDF print-outs (200x50)"
"Message","ข้อความ"
"Message:","ข้อความ:"
"Minimum amount","จำนวนน้อยที่สุด"
"Minimum order amount","จำนวนน้อยที่สุดของคำสั่งซื่อ"
"Mixed","ปนกัน"
"Move to Shopping Cart","ย้ายไปยังรถเข็นสินค้า"
"Move to Wishlist","ย้ายไปยัง Wishlist"
"Multi-address description message","ข้อความรายละเอียดหลายที่อยู่"
"Multi-address error to show in shopping cart","ข้อผิดพลาดในการแสดงหลายที่อยู่ในรถเข็นสินค้า"
"My Orders","คำสั่งซื้อของฉัน"
"My Orders - Details","คำสั่งซื้อของฉัน- รายละเอียด"
"Name","ชื่อ"
"New","ใหม่"
"New Credit Memo","ใบลดหนี้ใหม่"
