"-- Please Select --","-- กรุณาเลือก --"
"Add New Class","เพิ่มคลาสใหม่"
"Add New Tax Rate","เพิ่มอัตราภาษีใหม่"
"Add New Tax Rule","เพิ่มข้อกำหนดภาษีใหม่"
"Apply Discount On Prices Including Tax","ใช้งานลดราคาบนราคาที่รวมภาษี"
"Apply Tax After Discount","ใช้งานภาษีหลังลดราคา"
"Apply Tax On","ใช้งานภาษีเมื่อ"
"Are you sure you want to do this?","คุณแน่ใจว่าต้องการทำเช่นนี้?"
"Back","กลับ"
"CSV","CSV"
"Calculation","Calculation"
"Catalog prices include tax","Catalog prices include tax"
"Class Name","Class Name"
"Code","รหัส"
"Country","ประเทศ"
"County","ประเทศ"
"Custom price if available","ปรับปรุงราคาถ้าเหมาะสม"
"Customer Tax Class","คลาสภาษีลูกค้า"
"Customer Tax Class Information","ข้อมูลคลาสภาษีลูกค้า"
"Customer Tax Classes","คลาสภาษีลูกค้า"
"Default Country","ประเทศเริ่มต้น"
"Default Post Code","รหัสไปรษณีย์เริ่มต้น"
"Default State","สภาพเริ่มต้น"
"Default Tax Origin Calculation","Default Tax Origin Calculation"
"Delete Class","ลบคลาส"
"Delete Rate","ลบอัตรา"
"Delete Rule","ลบข้อกำหนด"
"Display","แสดง"
"Display Cart/Order Prices","แสดง ราคาสิินค้าในรถเข็น/คำสั่งซื้อ"
"Display Product Prices","แสดงราคาสินค้า"
"Display Shipping Prices","แสดงราคาการส่งสินค้า"
"Display Subtotal","แสดงทั้งหมด"
"Display Zero Tax Subtotal","Display Zero Tax Subtotal"
"Display full tax summary","แสดงภาษีทั้งหมด"
"Edit Class","แก้ไขคลาส"
"Edit Class '%s'","แก้ไขคลาส '%s'"
"Edit Rule","แก้ไขข้อกำหนด"
"Edit Tax Rate","แก้ไขอัตราภาษี"
"Error while deleting this class. Please try again later.","ความผิดพลาดขณะลบคลาสนี้ กรุณาลองใหม่อีกครั้ง"
"Error while deleting this rate. Incorrect rate ID","ความผิดพลาดขณะลบอัตรานี้ รหัส อัตราไม่ถูกต้อง"
"Error while deleting this rate. Please try again later.","ความผิดพลาดขณะลบอัตรานี้ กรุณาลองใหม่อีกครั้ง"
"Error while deleting this tax rule. Please try again later.","ความผิดพลาดขณะลบข้อกำหนดภาษีนี้ กรุณาลองใหม่อีกครั้ง"
"Error while saving this rate. Please try again later.","ความผิดพลาดขณะบันทึกอัตรานี้ กรุณาลองใหม่อีกครั้ง"
"Error while saving this tax class. Class with the same name ","ความผิดพลาดขณะบันทึกคลาสภาษีนี้ มีคลาสที่มีชื่อเดียวกัน "
"Error while saving this tax class. Please try again later.","ความผิดพลาดขณะบันทึกคลาสภาษีนี้ กรุณาลองใหม่อีกครั้ง"
"Error while saving this tax rule. Please try again later.","ความผิดพลาดขณะบันทึกข้อกำหนดภาษีนี้ กรุณาลองใหม่อีกครั้ง."
"Excl. Tax","ยกเว้น. ภาษี"
"Excl. Tax:","ยกเว้น. ภาษี:"
"Excluding tax","ยกเว้นภาษี"
"Export Tax Rates","ส่งออกอัตราภาษี"
"Ignored when 'Apply Tax After Discount' option is enabled","ไม่สนใจเมื่อไหรที่ ตัวเลือกใช้งานภาษีหลังลดราคาทำงาน"
"Import / Export Tax Rates","นำเข้า/ส่งออก อัตราภาษี"
"Import Tax Rates","นำเข้าอัตราภาษี"
"Inc. Tax","รวม. ภาษี"
"Incl. Tax","รวม. ภาษี"
"Incl. Tax:","Incl. Tax:"
"Including and excluding tax","รวม และ ยกเว้นภาษี"
"Including tax","รวมภาษี"
"Invalid file format upload attempt","ความพยายามอัพโหลดไฟล์ที่ รูปแบบ ไม่ถูกต้อง"
"Invalid file upload attempt","ความพยายามอัพโหลดไฟล์ไม่ถูกต้อง"
"Manage Customer Tax Classes","จัดการคลาสภาษีลูกค้า"
"Manage Product Tax Classes","จัดการคลาสภาษีสินค้า"
"Manage Tax Rates","จัดการอัตราภาษี"
"Manage Tax Rules","จัดการข้อกำหนดภาษี"
"Manage Tax Zones & Rates","จัดการโซนภาษีและอัตราแลกเปลี่ยน"
"Name","ชื่ิอ"
"New Class","คลาสใหม่"
"New Rule","ข้อกำหนดใหม่"
"New Tax Rate","อัตราภาษีใหม่"
"None","ไม่"
"One of the country has invalid code.","มีบางของประเทศรหัสไม่ถูกต้อง"
"Original price only","เฉพาะราคาเดิม"
"Please select Country","กรุณาเลือกประเทศ"
"Please select County","กรุณาเลือกประเทศ"
"Please select State","กรุณาเลือกรัฐ"
"Priority","Priority"
"Product Tax Class","คลาสภาษีสินค้า"
"Product Tax Class Information","ข้อมูลคลาสภาษีสินค้า"
"Product Tax Classes","คลาสภาษีสินค้า"
"Rate","อัตรา"
"Reset","ตั้งค่าใหม่"
"Row Total","Row Total"
"Sales","ยอดขาย"
"Save Class","บันทึกคลาส"
"Save Rate","บันทึกอัตรา"
"Save Rule","บันทึกข้อกำหนด"
"Shipping prices include tax","ราคาส่งสินค้ารวมภาษี"
"Sort Order","จัดเรียงรายการ"
"State","รัฐ"
"State/Region","รัฐ/ภูมิภาค"
"Subtotal (Excl. Tax)","Subtotal (Excl. Tax)"
"Subtotal (Incl. Tax)","Subtotal (Incl. Tax)"
"Tax","ภาษี"
"Tax Based On","Tax Based On"
"Tax Calculation Method Based On","Tax Calculation Method Based On"
"Tax Class for Shipping","คลาสภาษีการส่งสินค้า"
"Tax Classes","คลาสภาษี"
"Tax Identifier","ภาษี Identifier"
"Tax Rate","อัตราภาษี"
"Tax Rate Information","ข้อมูลอัตราภาษี"
"Tax Rule Information","ข้อมูลข้อกำหนดภาษี"
"Tax Rules","ข้อกำหนดภาษี"
"Tax Section","Tax Section"
"Tax Titles","หัวข้อภาษี"
"Tax class was successfully deleted","ลบคลาสภาษีแล้ว"
"Tax class was successfully saved","บันทึกคลาสภาษีแล้ว"
"Tax rate was successfully deleted","ลบอัตราภาษีแล้ว"
"Tax rate was successfully imported","นำเข้าอัตราภาษีแล้ว"
"Tax rate was successfully saved","บันทึกอัตราภาษีแล้ว"
"Tax rates at the same priority are added, others are compounded.","Tax rates at the same priority are added, others are compounded."
"Tax rule was successfully deleted","ลบข้อกำหนดภาษีแล้ว"
"Tax rule was successfully saved","บันทึกอัตราภาษีแล้ว"
"This class no longer exists","ไม่มีคลาสนี้"
"This rule no longer exists","ไม่มีข้อกำหนดนี้"
"Total","ยอดรวม"
"Unit Price","ราคาหน่วย"
"XML","XML"
"You cannot delete this tax class as it is used for %d customer groups.","คุณไม่สามารถลบคลาสภาษีนี้ได้เนื่องจากถูกใช้สำหรับ %d กลุ่มลูกค้า"
"You cannot delete this tax class as it is used for %d products.","คุณไม่สามารถลบคลาสภาษีนี้ได้เนื่องจากถูกใช้สำหรับ %d สินค้า"
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","คุณไม่สามารถลบคลาสภาษีนี้ได้เนื่องจากถูกใช้ในข้อกำหนดภาษี คุณต้องลบข้อกำหนดที่คลาสถูกใช้ก่อน"
"Zip/Post Code","รหัสไปรษณีย์"
